,c6,6/8,9/8,12/8,c3,6/4,9/4,3/4,c2,c1,5/8,7/8,2/4,5/4,7/4,12/4,c12,c4,2/2,4/4,c5,c9,c7,c8,c10,c14,c16
c6,0.0,0.8531364454153678,0.8782185626960577,0.9042842975958788,0.9927230311585716,1.266510804220951,1.2767201880471377,1.361315324077826,1.405967348855055,1.405967348855055,1.421621645564474,1.423513149339101,1.4981210555223938,1.5062602859190615,1.507346399928551,1.673619661483673,1.7253243712550146,1.7253243712550146,1.726418696133,1.726418696133,1.9827827020761186,1.9890687404178684,2.211406917125668,2.220412699959072,2.416401914229343,2.7935455822620816,2.9883494705505136
6/8,0.8531364454153678,0.0,0.3219910860324843,0.6824258442941183,0.752373590844862,0.7544421828818575,0.7595094709150559,0.5860017233292065,0.6299130617273753,0.6299130617273753,0.667202423697537,0.6681476871130236,0.7432510616211871,0.7619170218638296,0.7643662168467119,1.4811939341071059,1.7281865157727403,1.0742061982982847,1.1108058073430815,1.1108058073430815,1.5385922682307889,1.8808877132049524,1.8241870006481575,1.7691240987642682,2.071129779329348,2.5014564542194067,2.6695382843786453
9/8,0.8782185626960577,0.3219910860324843,0.0,0.880315520569642,0.7661118797523072,0.9659411635599995,0.9360040869724515,0.7201474983696009,0.62843090281635,0.62843090281635,0.6640809200026776,0.6662594488013395,0.8138045777712369,0.8320556649706025,0.8324071870479263,1.6414089991176128,1.9298784519711734,1.1769541997466937,1.1834883827448277,1.1834883827448277,1.5389664864234225,1.7480045682535421,1.822746517934163,1.832779104676155,2.0724709250326274,2.499626139328482,2.706769258558743
12/8,0.9042842975958788,0.6824258442941183,0.880315520569642,0.0,1.0696038260856948,0.5069669730066296,0.6736903266937851,0.9599607018447268,1.2118349965353679,1.2118349965353679,1.2320854081849202,1.2294764410028574,1.131611619072428,1.1731336029974986,1.1717949552159483,0.9400461998927989,1.1700614158001093,1.2855842246903986,1.286515329008304,1.286515329008304,1.8504827102921506,2.0151678581855426,2.0850585589983446,1.7646711770811705,2.3092023358004203,2.688040906097136,2.6666442993935466
c3,0.9927230311585716,0.752373590844862,0.7661118797523072,1.0696038260856948,0.0,1.1789894124999782,1.1807436055382108,1.0393274369564403,0.9985283792228454,0.9985283792228454,1.021405466781219,1.0236017727391715,1.1264513455543492,1.1382890962295513,1.140207965359475,1.7542454312800582,1.9905384202871277,1.413173352463668,1.418914043257347,1.418914043257347,1.7219393591550092,1.7303420614635663,1.9861975052672243,1.9934059072973338,2.211231908562089,2.62103537337058,2.8237682467312903
6/4,1.266510804220951,0.7544421828818575,0.9659411635599995,0.5069669730066296,1.1789894124999782,0.0,0.42205283775965724,0.6656856836597653,1.0807258406403695,1.0807258406403695,1.1032565843939623,1.1002960485213027,0.843922993026866,0.8991671830723164,0.8989211827446119,0.9447122749858438,1.2901286978175406,0.8895642827125796,0.9820399525818694,0.9820399525818694,1.7673855659977369,2.0756761838665434,2.013182093234803,1.517470640363029,2.2429330538087173,2.634184531561144,2.5117659099090064
9/4,1.2767201880471377,0.7595094709150559,0.9360040869724515,0.6736903266937851,1.1807436055382108,0.42205283775965724,0.0,0.6640241793254249,1.0724052774225061,1.0724052774225061,1.095851525136583,1.0918845228175225,0.8754037077941605,0.8938972315106615,0.8929758824695787,1.2045127208110995,1.3236420219440284,0.8895032535432705,1.0769196136388108,1.0769196136388108,1.7666971646616314,1.961356856253136,2.0074615046180653,1.6541658579813823,2.2457904240175615,2.6288549679309616,2.6002261534681828
3/4,1.361315324077826,0.5860017233292065,0.7201474983696009,0.9599607018447268,1.0393274369564403,0.6656856836597653,0.6640241793254249,0.0,0.5411042389377494,0.5411042389377494,0.584732868988244,0.5840037648773514,0.3278928331353998,0.370540894237405,0.3785031157837618,1.5210789885156788,1.8598798534198269,0.5800299333513744,0.7838562759177916,0.7838562759177916,1.5060983802610997,2.011925531026619,1.7963088285358941,1.5242880084787516,2.0479570024707123,2.482431203294497,2.5172275922926715
c2,1.405967348855055,0.6299130617273753,0.62843090281635,1.2118349965353679,0.9985283792228454,1.0807258406403695,1.0724052774225061,0.5411042389377494,0.0,0.0,0.2210880731139581,0.23035179007344964,0.5257394130651457,0.5524848344170975,0.5578057911536867,1.8306739106385945,2.225643361388572,1.0,1.014468479783025,1.014468479783025,1.4090385954289635,1.9977672979278003,1.7203079548323494,1.7320508075688772,1.9806758753205744,2.4328828411822303,2.6457513110645907
c1,1.405967348855055,0.6299130617273753,0.62843090281635,1.2118349965353679,0.9985283792228454,1.0807258406403695,1.0724052774225061,0.5411042389377494,0.0,0.0,0.2210880731139581,0.23035179007344964,0.5257394130651457,0.5524848344170975,0.5578057911536867,1.8306739106385945,2.225643361388572,1.0,1.014468479783025,1.014468479783025,1.4090385954289635,1.9977672979278003,1.7203079548323494,1.7320508075688772,1.9806758753205744,2.4328828411822303,2.6457513110645907
5/8,1.421621645564474,0.667202423697537,0.6640809200026776,1.2320854081849202,1.021405466781219,1.1032565843939623,1.095851525136583,0.584732868988244,0.2210880731139581,0.2210880731139581,0.0,0.3201194510751704,0.5695719223118384,0.5553061187359066,0.6007009450693117,1.8416627043183982,2.2386725200968014,1.0241483955332071,1.035743155397374,1.035743155397374,1.299576530730351,2.006387503626664,1.734226346931871,1.7440970295374234,1.8375229006551195,2.4417320936957774,2.6501307794313322
7/8,1.423513149339101,0.6681476871130236,0.6662594488013395,1.2294764410028574,1.0236017727391715,1.1002960485213027,1.0918845228175225,0.5840037648773514,0.23035179007344964,0.23035179007344964,0.3201194510751704,0.0,0.5701970274684808,0.5970768804262566,0.5777353290203622,1.8394524997581958,2.2339084964603497,1.0224138048887819,1.037832443760916,1.037832443760916,1.4286236872603713,2.0079518156942346,1.6173922940234198,1.7441025091176028,1.9938103630329933,2.304631845902239,2.6568921116399347
2/4,1.4981210555223938,0.7432510616211871,0.8138045777712369,1.131611619072428,1.1264513455543492,0.843922993026866,0.8754037077941605,0.3278928331353998,0.5257394130651457,0.5257394130651457,0.5695719223118384,0.5701970274684808,0.0,0.3527120988612451,0.35666490977410115,1.6169889378390616,2.0635106246913724,0.5639986926823572,0.5786380864427688,0.5786380864427688,1.5040097865693565,2.0592412089740284,1.7927641202071867,1.318067584996503,2.049263002527252,2.4806699817263924,2.395266615351726
5/4,1.5062602859190615,0.7619170218638296,0.8320556649706025,1.1731336029974986,1.1382890962295513,0.8991671830723164,0.8938972315106615,0.370540894237405,0.5524848344170975,0.5524848344170975,0.5553061187359066,0.5970768804262566,0.3527120988612451,0.0,0.409015511661444,1.6922162279245594,2.071177677140781,0.5939218255850602,0.794046049518828,0.794046049518828,1.4099211517571408,2.067018330149924,1.8052135699033238,1.5352136090540538,1.901562047003055,2.4927276570983006,2.513066636649325
7/4,1.507346399928551,0.7643662168467119,0.8324071870479263,1.1717949552159483,1.140207965359475,0.8989211827446119,0.8929758824695787,0.3785031157837618,0.5578057911536867,0.5578057911536867,0.6007009450693117,0.5777353290203622,0.35666490977410115,0.409015511661444,0.0,1.6956809823490804,2.0702708055783265,0.5996695597272336,0.7954041870425426,0.7954041870425426,1.5197332902937541,2.065072684790653,1.7018682488965855,1.530168430070586,2.0640197004698773,2.3435986315315342,2.519420199810055
12/4,1.673619661483673,1.4811939341071059,1.6414089991176128,0.9400461998927989,1.7542454312800582,0.9447122749858438,1.2045127208110995,1.5210789885156788,1.8306739106385945,1.8306739106385945,1.8416627043183982,1.8394524997581958,1.6169889378390616,1.6922162279245594,1.6956809823490804,0.0,1.2750776518806126,1.6510182990933666,1.5296758125022638,1.5296758125022638,2.2910190774242185,2.4314506566879284,2.4817477060570203,1.7661879201260997,2.664445908131586,2.994555906614835,2.483756189500277
c12,1.7253243712550146,1.7281865157727403,1.9298784519711734,1.1700614158001093,1.9905384202871277,1.2901286978175406,1.3236420219440284,1.8598798534198269,2.225643361388572,2.225643361388572,2.2386725200968014,2.2339084964603497,2.0635106246913724,2.071177677140781,2.0702708055783265,1.2750776518806126,0.0,1.9883380930045633,2.1130271398227913,2.1130271398227913,2.628340052142946,2.6131765106343954,2.7904501775858566,2.420839754357787,2.9691315897308668,3.258793644139631,3.140137754347581
c4,1.7253243712550146,1.0742061982982847,1.1769541997466937,1.2855842246903986,1.413173352463668,0.8895642827125796,0.8895032535432705,0.5800299333513744,1.0,1.0,1.0241483955332071,1.0224138048887819,0.5639986926823572,0.5939218255850602,0.5996695597272336,1.6510182990933666,1.9883380930045633,0.0,0.7489918511772954,0.7489918511772954,1.7278280479863808,2.226204495856456,1.9830361651852022,1.4142135623730951,2.2188007849009166,2.6200887131669544,2.449489742783178
2/2,1.726418696133,1.1108058073430815,1.1834883827448277,1.286515329008304,1.418914043257347,0.9820399525818694,1.0769196136388108,0.7838562759177916,1.014468479783025,1.014468479783025,1.035743155397374,1.037832443760916,0.5786380864427688,0.794046049518828,0.7954041870425426,1.5296758125022638,2.1130271398227913,0.7489918511772954,0.0,0.0,1.7338454198684143,2.22929834367376,1.9845197360019478,0.8697984844468629,2.221623036763501,2.6168854616667545,1.9138834273526673
4/4,1.726418696133,1.1108058073430815,1.1834883827448277,1.286515329008304,1.418914043257347,0.9820399525818694,1.0769196136388108,0.7838562759177916,1.014468479783025,1.014468479783025,1.035743155397374,1.037832443760916,0.5786380864427688,0.794046049518828,0.7954041870425426,1.5296758125022638,2.1130271398227913,0.7489918511772954,0.0,0.0,1.7338454198684143,2.22929834367376,1.9845197360019478,0.8697984844468629,2.221623036763501,2.6168854616667545,1.9138834273526673
c5,1.9827827020761186,1.5385922682307889,1.5389664864234225,1.8504827102921506,1.7219393591550092,1.7673855659977369,1.7666971646616314,1.5060983802610997,1.4090385954289635,1.4090385954289635,1.299576530730351,1.4286236872603713,1.5040097865693565,1.4099211517571408,1.5197332902937541,2.2910190774242185,2.628340052142946,1.7278280479863808,1.7338454198684143,1.7338454198684143,0.0,2.4351867534761538,2.2219900250831497,2.232798639243679,1.3954575013025874,2.799863192873173,2.98458034914388
